variant_label,sweep_parameter,sweep_value,num_factuals,num_successful,current_validity,future_validity,distance_l0,distance_l1,distance_l2,distance_linf,l1_cost,train_max_distance,effective_perturb_radius,method_delta_plus,method_sigma,method_epsilon_op,method_epsilon_pe,method_num_samples,method_perturb_radius,method_max_iter
epsilon_pe=0.0000,epsilon_pe,0.0,100,99,0.99,0.6703000664710999,7.1313131313131315,0.48521092534065247,0.2862926191731714,0.24653960764408112,0.48521092534065247,8.383910179138184,1.6767820358276369,0.2,1.0,0.0,0.0,200,0.2,500
epsilon_pe=0.5000,epsilon_pe,0.5,100,99,0.99,0.6716000437736511,7.0,0.48521092534065247,0.2875377480139085,0.24774931371212006,0.48521092534065247,8.383910179138184,1.6767820358276369,0.2,1.0,0.0,0.5,200,0.2,500
epsilon_pe=1.0000,epsilon_pe,1.0,100,98,0.98,0.6639000177383423,6.948979591836735,0.48745405673980713,0.28995440184297716,0.25036337971687317,0.48745405673980713,8.383910179138184,1.6767820358276369,0.2,1.0,0.0,1.0,200,0.2,500
delta_plus=0.0000,delta_plus,0.0,100,100,1.0,0.5009999871253967,2.4,0.2860631048679352,0.22279328646018282,0.2066287398338318,0.2860631048679352,8.383910179138184,1.6767820358276369,0.0,1.0,0.0,0.0,200,0.2,500
delta_plus=0.2000,delta_plus,0.2,100,99,0.99,0.6703000664710999,7.1313131313131315,0.48521092534065247,0.2862926191731714,0.24653960764408112,0.48521092534065247,8.383910179138184,1.6767820358276369,0.2,1.0,0.0,0.0,200,0.2,500
delta_plus=0.4000,delta_plus,0.4,100,99,0.99,0.7468000650405884,7.555555555555555,0.6852108836174011,0.36357511894105304,0.29467833042144775,0.6852108836174011,8.383910179138184,1.6767820358276369,0.4,1.0,0.0,0.0,200,0.2,500
delta_plus=0.6000,delta_plus,0.6,100,99,0.99,0.7925999164581299,7.555555555555555,0.8852108120918274,0.4461712004763013,0.34835442900657654,0.8852108120918274,8.383910179138184,1.6767820358276369,0.6,1.0,0.0,0.0,200,0.2,500
delta_plus=0.8000,delta_plus,0.8,100,99,0.99,0.823199987411499,7.686868686868687,1.0852110385894775,0.5281912905149271,0.40048977732658386,1.0852110385894775,8.383910179138184,1.6767820358276369,0.8,1.0,0.0,0.0,200,0.2,500
delta_plus=1.0000,delta_plus,1.0,100,99,0.99,0.8369998931884766,7.808080808080808,1.2852109670639038,0.6138505404344836,0.45696374773979187,1.2852109670639038,8.383910179138184,1.6767820358276369,1.0,1.0,0.0,0.0,200,0.2,500
epsilon_op=0.0000,epsilon_op,0.0,100,99,0.99,0.6703000664710999,7.1313131313131315,0.48521092534065247,0.2862926191731714,0.24653960764408112,0.48521092534065247,8.383910179138184,1.6767820358276369,0.2,1.0,0.0,0.0,200,0.2,500
epsilon_op=0.5000,epsilon_op,0.5,100,97,0.97,0.6562000513076782,7.360824742268041,0.4888690710067749,0.2894089144554625,0.25003746151924133,0.4888690710067749,8.383910179138184,1.6767820358276369,0.2,1.0,0.5,0.0,200,0.2,500
epsilon_op=1.0000,epsilon_op,1.0,100,96,0.96,0.6527999639511108,7.385416666666667,0.4916890561580658,0.29008984349983025,0.25094208121299744,0.4916890561580658,8.383910179138184,1.6767820358276369,0.2,1.0,1.0,0.0,200,0.2,500
